"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
260040,COX MEDICAL CENTERS,3801 SOUTH NATIONAL AVENUE,SPRINGFIELD,MO,65807,GREENE,(417) 269-6000,96,3,1,98,90,8,2,94,87,10,3,94,82,15,3,92,,2456,637,26,01/01/2019,12/31/2019
260047,CAPITAL REGION MEDICAL CENTER,1125 MADISON ST,JEFFERSON CITY,MO,65102,COLE,(573) 632-5000,97,3,0,99,93,5,2,95,87,11,2,95,86,13,1,95,,1288,420,33,01/01/2019,12/31/2019
260048,TRUMAN MEDICAL CENTER HOSPITAL HILL,2301 HOLMES STREET,KANSAS CITY,MO,64108,JACKSON,(816) 404-1000,96,3,1,98,91,7,2,94,83,14,3,94,84,14,2,94,,3525,717,21,01/01/2019,12/31/2019
260050,SSM HEALTH ST. FRANCIS HOSPITAL- MARYVILLE,2016 SOUTH MAIN ST,MARYVILLE,MO,64468,NODAWAY,(660) 562-2600,97,3,0,98,93,6,1,96,85,13,2,94,72,26,2,90,,977,323,33,01/01/2019,12/31/2019
260057,CAMERON REGIONAL MEDICAL CENTER,1600 E EVERGREEN,CAMERON,MO,64429,CLINTON,(816) 632-2101,94,5,1,96,89,9,2,93,73,21,6,90,68,29,3,88,,1160,333,29,01/01/2019,12/31/2019
260061,NEVADA REGIONAL MEDICAL CENTER,800 S ASH ST,NEVADA,MO,64772,VERNON,(417) 667-3355,94,5,1,97,89,9,2,93,73,21,6,89,61,36,3,86,,939,284,30,01/01/2019,12/31/2019
260064,SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN,620 E MONROE,MEXICO,MO,65265,AUDRAIN,(573) 582-5000,97,2,1,98,93,6,1,96,81,16,3,92,70,27,3,89,,893,297,33,01/01/2019,12/31/2019
260081,SSM ST CLARE HEALTH CENTER,1015 BOWLES,FENTON,MO,63026,JEFFERSON,(636) 496-2000,98,2,0,99,92,6,2,95,91,8,1,96,87,12,1,95,,955,297,31,01/01/2019,12/31/2019
260091,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,6420 CLAYTON RD,RICHMOND HEIGHTS,MO,63117,ST. LOUIS,(314) 768-8000,96,3,1,97,91,7,2,94,87,12,1,95,84,13,3,93,,1138,258,23,01/01/2019,12/31/2019
260094,COX MEDICAL CENTER BRANSON,525 BRANSON LANDING BLVD,BRANSON,MO,65615,TANEY,(417) 335-7000,96,4,0,98,89,9,2,94,81,16,3,93,77,22,1,92,,1670,505,30,01/01/2019,12/31/2019
260097,WESTERN MISSOURI MEDICAL CENTER,403 BURKARTH ROAD,WARRENSBURG,MO,64093,JOHNSON,(660) 747-2500,98,2,0,99,94,5,1,96,84,13,3,93,74,24,2,90,,1143,323,28,01/01/2019,12/31/2019
260102,TRUMAN MEDICAL CENTER LAKEWOOD,7900 LEE'S SUMMIT RD,KANSAS CITY,MO,64139,JACKSON,(816) 404-7000,98,2,0,99,93,6,1,96,87,12,1,96,89,10,1,96,,1697,265,16,01/01/2019,12/31/2019
260104,SSM DEPAUL HEALTH CENTER,12303 DEPAUL DRIVE,BRIDGETON,MO,63044,ST. LOUIS,(314) 344-6000,98,2,0,99,92,6,2,95,91,8,1,96,81,17,2,93,,1190,306,26,01/01/2019,12/31/2019
260105,ST LOUIS UNIVERSITY HOSPITAL,3635 VISTA AVE,SAINT LOUIS,MO,63110,ST. LOUIS CITY,(314) 577-8000,94,4,2,96,90,8,2,94,82,14,4,92,81,16,3,92,,1617,373,23,01/01/2019,12/31/2019
260175,GOLDEN VALLEY MEMORIAL HOSPITAL,1600 N 2ND ST,CLINTON,MO,64735,HENRY,(660) 885-5511,97,3,0,98,94,5,1,96,88,11,1,95,83,16,1,94,,2814,604,22,01/01/2019,12/31/2019
260179,ST LUKES HOSPITAL,232 S WOODS MILL RD,CHESTERFIELD,MO,63017,ST. LOUIS,(314) 434-1500,96,3,1,98,90,8,2,94,87,12,1,95,87,12,1,95,,2080,701,34,01/01/2019,12/31/2019
260183,SAINT FRANCIS MEDICAL CENTER,211 ST FRANCIS DR,CAPE GIRARDEAU,MO,63703,CAPE GIRARDEAU,(573) 331-3000,96,4,0,98,90,8,2,94,84,12,4,93,82,15,3,93,,5425,1517,29,01/01/2019,12/31/2019
260195,CITIZENS MEMORIAL HOSPITAL,1500 N OAKLAND,BOLIVAR,MO,65613,POLK,(417) 326-6000,97,3,0,98,91,7,2,95,86,12,2,94,80,18,2,92,,1508,491,33,01/01/2019,12/31/2019
260200,SSM ST JOSEPH HOSPITAL WEST,100 MEDICAL PLAZA,LAKE SAINT LOUIS,MO,63367,ST. CHARLES,(636) 625-5200,98,2,0,99,90,7,3,94,90,9,1,95,85,14,1,95,,997,294,29,01/01/2019,12/31/2019
270003,ST PETERS HOSPITAL,2475 BROADWAY,HELENA,MT,59601,LEWIS AND CLARK,(406) 442-2480,,,,,,,,,,,,,,,,,4,,,,,
270012,BENEFIS HOSPITALS INC,1101 26TH ST S,GREAT FALLS,MT,59405,CASCADE,(406) 455-5000,,,,,,,,,,,,,,,,,4,,,,,
270014,ST. PATRICK HOSPITAL,500 W BROADWAY,MISSOULA,MT,59806,MISSOULA,(406) 543-7271,98,2,0,99,91,8,1,95,88,11,1,95,89,10,1,96,,4284,1528,36,01/01/2019,12/31/2019
270017,ST JAMES HEALTHCARE,400 S CLARK ST,BUTTE,MT,59701,SILVER BOW,(406) 723-2500,96,3,1,98,90,8,2,94,77,19,4,92,74,23,3,90,,1975,566,29,01/01/2019,12/31/2019
270049,ST VINCENT HEALTHCARE,1233 N 30TH ST,BILLINGS,MT,59101,YELLOWSTONE,(406) 657-7000,96,3,1,97,88,9,3,93,83,14,3,93,82,16,2,93,,6204,1935,31,01/01/2019,12/31/2019
270057,BOZEMAN HEALTH DEACONESS HOSPITAL,915 HIGHLAND BLVD,BOZEMAN,MT,59715,GALLATIN,(406) 585-5000,97,3,0,99,95,3,2,97,84,15,1,92,79,21,0,93,3,138,30,22,01/01/2019,12/31/2019
271318,BARRETT HOSPITAL & HEALTHCARE,600 MT HWY 91 S,DILLON,MT,59725,BEAVERHEAD,(406) 683-3000,97,3,0,98,94,5,1,97,89,10,1,95,80,19,1,93,,537,165,31,01/01/2019,12/31/2019
271320,CABINET PEAKS MEDICAL CENTER,209 HEALTH PARK DR,LIBBY,MT,59923,LINCOLN,(406) 293-0100,97,3,0,98,88,9,3,92,86,11,3,94,76,23,1,92,,775,293,38,01/01/2019,12/31/2019
271335,COMMUNITY HOSPITAL OF ANACONDA,401 W PENNSYLVANIA,ANACONDA,MT,59711,DEER LODGE,(406) 563-8500,98,2,0,99,94,5,1,96,89,10,1,95,89,10,1,95,,1087,443,41,01/01/2019,12/31/2019
271343,PROVIDENCE ST JOSEPH MEDICAL CENTER,6 13TH AVE E,POLSON,MT,59860,LAKE,(406) 883-5377,98,2,0,99,93,6,1,96,86,13,1,95,79,20,1,92,,726,216,30,01/01/2019,12/31/2019
271344,SIDNEY HEALTH CENTER,216 14TH AVE SW,SIDNEY,MT,59270,RICHLAND,(406) 488-2100,98,2,0,99,91,7,2,94,86,10,4,93,79,20,1,93,,390,121,31,01/01/2019,12/31/2019
271347,HOLY ROSARY HEALTHCARE,2600 WILSON ST,MILES CITY,MT,59301,CUSTER,(406) 233-2600,95,4,1,97,86,11,3,92,76,20,4,91,75,22,3,90,,882,281,32,01/01/2019,12/31/2019
280061,REGIONAL WEST MEDICAL CENTER,4021 AVE B,SCOTTSBLUFF,NE,69361,SCOTT BLUFF,(308) 635-3711,,,,,,,,,,,,,,,,,4,,,,,
280065,GREAT PLAINS HEALTH,601 WEST LEOTA ST,NORTH PLATTE,NE,69101,LINCOLN,(308) 568-8000,96,4,0,98,89,9,2,94,77,17,6,91,73,24,3,89,,1735,396,28,01/01/2019,12/31/2019
280077,METHODIST FREMONT HEALTH,450 EAST 23RD ST,FREMONT,NE,68025,DODGE,(402) 727-3381,97,3,0,99,92,7,1,95,87,12,1,94,78,21,1,92,,1052,400,38,01/01/2019,12/31/2019
280111,COLUMBUS COMMUNITY HOSPITAL,4600 38TH ST,COLUMBUS,NE,68601,PLATTE,(402) 564-7118,98,2,0,99,92,7,1,95,85,13,2,94,72,26,2,90,,935,388,42,01/01/2019,12/31/2019
280125,FAITH REGIONAL HEALTH SERVICES,2700 WEST NORFOLK AVE,NORFOLK,NE,68701,MADISON,(402) 371-4880,95,4,1,97,87,11,2,92,77,20,3,92,73,25,2,90,,819,269,34,01/01/2019,12/31/2019
280129,NEBRASKA ORTHOPAEDIC HOSPITAL,2808 SOUTH 143RD PLZ,OMAHA,NE,68144,DOUGLAS,(402) 609-3000,98,2,0,99,93,6,1,96,93,6,1,96,91,8,1,96,,3038,1141,38,01/01/2019,12/31/2019
280133,"NEBRASKA SPINE HOSPITAL, LLC","6901 NORTH 72ND ST, STE 20300",OMAHA,NE,68122,DOUGLAS,(402) 572-3000,98,2,0,99,93,6,1,96,89,10,1,96,93,7,0,98,,712,158,22,01/01/2019,12/31/2019
280134,KEARNEY REGIONAL MEDICAL CENTER,804 22ND AVENUE,KEARNEY,NE,68845,BUFFALO,(308) 455-3600,96,4,0,98,88,10,2,93,81,16,3,93,83,16,1,94,,1529,520,40,01/01/2019,12/31/2019
281309,SYRACUSE AREA HEALTH,2731 HEALTHCARE DR,SYRACUSE,NE,68446,OTOE,(402) 269-2011,97,3,0,99,90,8,2,94,86,13,1,95,83,16,1,94,,363,164,45,01/01/2019,12/31/2019
281338,HOWARD COUNTY MEDICAL CENTER,1113 SHERMAN ST,ST PAUL,NE,68873,HOWARD,(308) 754-4421,96,4,0,98,91,8,1,95,90,8,2,95,82,17,1,94,,400,148,37,01/01/2019,12/31/2019
281345,PROVIDENCE MEDICAL CENTER,1200 PROVIDENCE RD,WAYNE,NE,68787,WAYNE,(402) 375-3800,98,2,0,99,91,7,2,95,86,12,2,94,83,16,1,94,,847,297,35,01/01/2019,12/31/2019
281361,LEXINGTON REGIONAL HEALTH CENTER,1201 NORTH ERIE ST,LEXINGTON,NE,68850,DAWSON,(308) 324-5651,99,0,1,99,95,4,1,97,90,9,1,95,83,15,2,93,,468,165,35,01/01/2019,12/31/2019
281362,PHELPS MEMORIAL HEALTH CENTER,1215 TIBBALS ST,HOLDREGE,NE,68949,PHELPS,(308) 995-2211,97,3,0,98,88,10,2,93,85,13,2,94,86,12,2,94,,982,377,39,01/01/2019,12/31/2019
290001,RENOWN REGIONAL MEDICAL CENTER,1155 MILL STREET,RENO,NV,89502,WASHOE,(775) 982-4100,96,4,0,98,83,13,4,89,77,20,3,91,79,18,3,92,,936,230,25,01/01/2019,12/31/2019
290021,VALLEY HOSPITAL MEDICAL CENTER,620 SHADOW LANE,LAS VEGAS,NV,89106,CLARK,(702) 388-4000,93,5,2,96,86,10,4,91,76,19,5,90,79,18,3,91,,993,214,22,01/01/2019,12/31/2019
290022,DESERT SPRINGS HOSPITAL,2075 EAST FLAMINGO ROAD,LAS VEGAS,NV,89119,CLARK,(702) 369-7600,92,7,1,95,80,15,5,87,75,16,9,89,71,21,8,87,,876,192,22,01/01/2019,12/31/2019
290032,NORTHERN NEVADA MEDICAL CENTER,2375 E PRATER WAY,SPARKS,NV,89434,WASHOE,(775) 331-7000,97,3,0,98,90,8,2,94,85,13,2,94,84,14,2,94,,1044,337,32,01/01/2019,12/31/2019
290041,SUMMERLIN HOSPITAL MEDICAL CENTER,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89144,CLARK,(702) 233-7500,95,4,1,97,87,10,3,92,79,19,2,93,82,15,3,92,,938,233,25,01/01/2019,12/31/2019
290046,SPRING VALLEY HOSPITAL MEDICAL CENTER,5400 SOUTH RAINBOW BLVD,LAS VEGAS,NV,89118,CLARK,(702) 853-3000,97,3,0,98,87,10,3,92,81,17,2,93,81,15,4,92,,1398,323,23,01/01/2019,12/31/2019
290049,RENOWN SOUTH MEADOWS MEDICAL CENTER,10101 DOUBLE R BLVD,RENO,NV,89521,WASHOE,(775) 982-7063,98,2,0,99,89,10,1,94,85,14,1,95,85,15,0,95,,613,146,24,01/01/2019,12/31/2019
290054,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,6900 N DURANGO DR,LAS VEGAS,NV,89149,CLARK,(702) 835-9700,93,6,1,96,86,11,3,92,81,15,4,92,80,16,4,91,,1135,241,21,01/01/2019,12/31/2019
290057,HENDERSON HOSPITAL,1050 WEST GALLERIA DRIVE,HENDERSON,NV,89011,CLARK,(318) 290-4395,96,3,1,97,90,8,2,94,89,9,2,95,89,9,2,95,,4042,1054,26,01/01/2019,12/31/2019
291306,CARSON VALLEY MEDICAL CENTER,1107 HIGHWAY 395,GARDNERVILLE,NV,89410,DOUGLAS,(775) 782-1500,98,2,0,99,92,7,1,96,88,11,1,95,88,10,2,95,,952,361,38,01/01/2019,12/31/2019
300001,CONCORD HOSPITAL,250 PLEASANT ST,CONCORD,NH,03301,MERRIMACK,(603) 225-2711,97,3,0,99,93,6,1,96,87,11,2,94,85,13,2,94,,4894,1432,29,01/01/2019,12/31/2019
300003,MARY HITCHCOCK MEMORIAL HOSPITAL,1 MEDICAL CENTER DRIVE,LEBANON,NH,03756,GRAFTON,(603) 650-5000,97,3,0,98,93,6,1,96,89,10,1,95,89,10,1,96,,9950,3175,32,01/01/2019,12/31/2019
300005,LAKES REGION GENERAL HOSPITAL,80 HIGHLAND ST,LACONIA,NH,03246,BELKNAP,(603) 524-3211,97,3,0,98,93,6,1,96,80,15,5,91,70,26,4,88,,1371,341,25,01/01/2019,12/31/2019
300018,WENTWORTH-DOUGLASS HOSPITAL,789 CENTRAL AVE,DOVER,NH,03820,STRAFFORD,(603) 740-2580,97,3,0,99,95,4,1,97,88,11,1,95,91,8,1,96,2,1283,360,28,01/01/2019,12/31/2019
300020,SOUTHERN NH MEDICAL CENTER,8 PROSPECT STREET,NASHUA,NH,03060,HILLSBOROUGH,(603) 577-2000,97,2,1,98,92,6,2,95,88,9,3,94,88,9,3,94,,1705,442,26,01/01/2019,12/31/2019
301300,UPPER CONNECTICUT VALLEY HOSPITAL,181 CORLISS LANE,COLEBROOK,NH,03576,COOS,(603) 237-4971,98,2,0,99,90,9,1,95,80,16,4,92,80,17,3,92,,387,146,38,01/01/2019,12/31/2019
301303,WEEKS MEDICAL CENTER,173 MIDDLE STREET,LANCASTER,NH,03584,COOS,(603) 788-4911,99,1,0,99,95,4,1,97,88,11,1,95,83,16,1,94,,814,277,37,01/01/2019,12/31/2019
301305,ALICE PECK DAY MEMORIAL HOSPITAL,10 ALICE PECK DAY DRIVE,LEBANON,NH,03766,GRAFTON,(603) 448-3121,,,,,,,,,,,,,,,,,4,,,,,
301307,"MEMORIAL HOSPITAL, THE",3073 WHITE MOUNTAIN HIGHWAY,NORTH CONWAY,NH,03860,CARROLL,(603) 356-5461,96,3,1,98,92,7,1,95,79,16,5,91,68,27,5,87,,1676,438,26,01/01/2019,12/31/2019
301308,VALLEY REGIONAL HOSPITAL,243 ELM STREET,CLAREMONT,NH,03743,SULLIVAN,(603) 542-7771,96,4,0,98,95,5,0,97,87,10,3,94,76,23,1,92,2;3,335,94,28,01/01/2019,12/31/2019
301309,MONADNOCK COMMUNITY HOSPITAL,452 OLD STREET ROAD,PETERBOROUGH,NH,03458,HILLSBOROUGH,(603) 924-7191,98,1,1,99,92,6,2,95,88,10,2,95,83,15,2,93,,1172,419,36,01/01/2019,12/31/2019
301310,ANDROSCOGGIN VALLEY HOSPITAL,59 PAGE HILL ROAD,BERLIN,NH,03570,COOS,(603) 752-2200,97,3,0,99,91,7,2,95,79,18,3,92,71,27,2,89,,1159,327,28,01/01/2019,12/31/2019
301312,HUGGINS HOSPITAL,240 SOUTH MAIN STREET,WOLFEBORO,NH,03894,CARROLL,(603) 569-7500,98,2,0,99,94,4,2,96,84,12,4,94,78,19,3,91,,1028,369,36,01/01/2019,12/31/2019
310010,UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,ONE-FIVE PLAINSBORO ROAD,PLAINSBORO,NJ,08536,MIDDLESEX,(866) 460-4776,98,2,0,99,92,6,2,95,90,9,1,96,88,11,1,96,,5062,1520,30,01/01/2019,12/31/2019
310019,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,703 MAIN ST,PATERSON,NJ,07503,PASSAIC,(973) 754-2010,94,5,1,97,88,9,3,92,86,12,2,94,88,11,1,96,,7729,1005,14,01/01/2019,12/31/2019
310022,VIRTUA WEST JERSEY HOSPITALS,100 BOWMAN DRIVE,VOORHEES,NJ,08043,CAMDEN,(856) 247-3000,97,3,0,98,94,5,1,96,91,8,1,96,87,12,1,95,,770,205,27,01/01/2019,12/31/2019
310031,DEBORAH HEART AND LUNG CENTER,200 TRENTON ROAD,BROWNS MILLS,NJ,08015,BURLINGTON,(609) 893-6611,94,5,1,96,87,9,4,91,85,11,4,93,90,7,3,96,,1614,284,23,01/01/2019,12/31/2019
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,NJ,08534,MERCER,(609) 303-4000,97,3,0,99,92,7,1,95,91,8,1,95,88,11,1,95,,3116,888,29,01/01/2019,12/31/2019
310047,SHORE MEDICAL CENTER,100 MEDICAL CENTER WAY,SOMERS POINT,NJ,08244,ATLANTIC,(609) 653-3500,97,3,0,98,90,8,2,94,85,13,2,94,81,18,1,93,,1628,514,32,01/01/2019,12/31/2019
310057,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,175 MADISON AVE,MOUNT HOLLY,NJ,08060,BURLINGTON,(609) 267-0700,99,1,0,99,92,6,2,95,91,8,1,96,86,13,1,95,,357,104,29,01/01/2019,12/31/2019
310086,JEFFERSON STRATFORD HOSPITAL,18 EAST LAUREL ROAD,STRATFORD,NJ,08084,CAMDEN,(856) 346-7802,98,2,0,99,91,7,2,95,86,11,3,94,81,17,2,93,,1739,481,28,01/01/2019,12/31/2019
310092,CAPITAL HEALTH REGIONAL MEDICAL CENTER,750 BRUNSWICK AVE,TRENTON,NJ,08638,MERCER,(609) 394-6000,95,5,0,97,89,8,3,93,77,14,9,90,73,18,9,86,3,419,66,16,01/01/2019,12/31/2019
310111,CENTRASTATE MEDICAL CENTER,901 WEST MAIN STREET,FREEHOLD,NJ,07728,MONMOUTH,(732) 431-2000,98,2,0,99,90,8,2,94,85,13,2,94,81,18,1,93,,1648,476,29,01/01/2019,12/31/2019
310119,THE UNIVERSITY HOSPITAL,150 BERGEN ST,NEWARK,NJ,07101,ESSEX,(973) 972-5658,92,7,1,96,87,9,4,91,73,20,7,89,73,21,6,88,,4064,522,13,01/01/2019,12/31/2019
320002,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,455 ST MICHAEL'S DRIVE,SANTA FE,NM,87505,SANTA FE,(505) 913-5201,96,3,1,98,89,9,2,94,81,16,3,93,77,19,4,91,,2438,643,26,01/01/2019,12/31/2019
320005,SAN JUAN REGIONAL MEDICAL CENTER,801 WEST MAPLE STREET,FARMINGTON,NM,87401,SAN JUAN,(505) 609-2000,95,5,0,97,92,7,1,95,79,17,4,92,74,25,1,91,,1679,368,23,01/01/2019,12/31/2019
320011,PRESBYTERIAN ESPANOLA HOSPITAL,1010 SPRUCE STREET,ESPANOLA,NM,87532,RIO ARRIBA,(505) 753-1502,95,4,1,97,91,8,1,95,82,14,4,93,83,14,3,93,,1229,256,21,01/01/2019,12/31/2019
320021,PRESBYTERIAN HOSPITAL,1100 CENTRAL AVENUE SE,ALBUQUERQUE,NM,87106,BERNALILLO,(505) 724-8386,94,5,1,97,88,9,3,92,81,15,4,92,81,15,4,92,,4545,1043,23,01/01/2019,12/31/2019
320022,PLAINS REGIONAL MEDICAL CENTER,"2100 N MARTIN LUTHER KING, JR, BLVD",CLOVIS,NM,88101,CURRY,(575) 769-7155,94,4,2,96,87,11,2,93,79,16,5,92,76,21,3,91,3,517,84,16,01/01/2019,12/31/2019
320030,ARTESIA GENERAL HOSPITAL,702 N 13TH STREET,ARTESIA,NM,88210,EDDY,(575) 748-3333,97,3,0,98,93,5,2,96,84,15,1,94,87,12,1,95,,1452,302,22,01/01/2019,12/31/2019
320059,NORTHERN NAVAJO MEDICAL CENTER,US HWY 491 NORTH,SHIPROCK,NM,87420,SAN JUAN,(505) 368-6001,,,,,,,,,,,,,,,,,4,,,,,
320084,ROOSEVELT GENERAL HOSPITAL,42121 US HIGHWAY 70,PORTALES,NM,88130,ROOSEVELT,(575) 359-1800,97,3,0,98,94,5,1,97,84,13,3,94,80,18,2,92,,530,209,40,01/01/2019,12/31/2019
320090,PRESBYTERIAN SANTA FE MEDICAL CENTER,4801 BECKNER ROAD,SANTA FE,NM,87507,SANTA FE,(505) 772-6230,,,,,,,,,,,,,,,,,4,,,,,
321300,SIERRA VISTA HOSPITAL,800 EAST 9TH AVENUE,T OR C,NM,87901,SIERRA,(575) 894-2111,,,,,,,,,,,,,,,,,4,,,,,
321301,SOCORRO GENERAL HOSPITAL,1202 HIGHWAY 60 WEST,SOCORRO,NM,87801,SOCORRO,(575) 835-1140,96,2,2,97,90,8,2,94,88,8,4,93,80,17,3,92,3,311,75,24,01/01/2019,12/31/2019
321305,NOR-LEA HOSPITAL DISTRICT,1600 NORTH MAIN AVE,LOVINGTON,NM,88260,LEA,(575) 396-6611,98,2,0,99,93,5,2,96,90,9,1,96,90,9,1,96,,1389,298,21,01/01/2019,12/31/2019
321306,LINCOLN COUNTY MEDICAL CENTER,211 SUDDERTH DRIVE,RUIDOSO,NM,88345,LINCOLN,(575) 257-8200,96,4,0,98,91,8,1,95,83,13,4,93,81,18,1,93,,830,211,25,01/01/2019,12/31/2019
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,94,5,1,97,88,10,2,93,78,18,4,91,80,17,3,92,,3555,723,20,01/01/2019,12/31/2019
330043,NS/LIJ HS SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,(631) 968-3000,97,3,0,98,91,7,2,95,86,11,3,94,85,13,2,94,,1896,404,21,01/01/2019,12/31/2019
330045,NS/LIJ HS HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2000,98,2,0,99,92,6,2,95,88,11,1,95,84,14,2,94,,1210,337,28,01/01/2019,12/31/2019
330046,MOUNT SINAI ST LUKE'S ROOSEVELT HOSPITAL,1000 TENTH AVENUE,NEW YORK,NY,10019,NEW YORK,(212) 523-4000,95,4,1,97,88,9,3,93,84,13,3,93,79,18,3,91,,3951,671,17,01/01/2019,12/31/2019
330047,ST MARY'S HEALTHCARE,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,MONTGOMERY,(518) 841-7101,98,2,0,99,92,6,2,95,83,15,2,94,86,12,2,94,,3402,670,20,01/01/2019,12/31/2019
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,621 TENTH STREET,NIAGARA FALLS,NY,14302,NIAGARA,(716) 278-4000,94,5,1,97,88,10,2,93,75,20,5,90,67,29,4,87,,1412,359,25,01/01/2019,12/31/2019
330074,F F THOMPSON HOSPITAL,350 PARRISH STREET,CANANDAIGUA,NY,14424,ONTARIO,(585) 396-6000,96,4,0,98,91,7,2,95,85,13,2,94,80,19,1,93,,1292,522,40,01/01/2019,12/31/2019
330079,ADIRONDACK MEDICAL CENTER,2233 STATE ROUTE 86,SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,97,3,0,98,91,7,2,94,84,14,2,94,83,15,2,93,,1154,334,29,01/01/2019,12/31/2019
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,97,3,0,98,92,6,2,95,84,13,3,93,78,19,3,92,,1565,547,35,01/01/2019,12/31/2019
330088,STONY BROOK EASTERN LONG ISLAND HOSPITAL,201 MANOR PLACE,GREENPORT,NY,11944,SUFFOLK,(631) 477-1000,97,3,0,99,92,6,2,95,84,14,2,94,83,15,2,94,,1488,515,35,01/01/2019,12/31/2019
330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,97,3,0,98,94,5,1,96,80,18,2,92,72,27,1,90,,960,315,33,01/01/2019,12/31/2019
330100,NY EYE AND EAR INFIRMARY OF MOUNT SINAI,230 SECOND AVE,NEW YORK,NY,10003,NEW YORK,(212) 979-4000,92,7,1,95,88,9,3,92,72,22,6,89,77,20,3,91,,1979,480,24,01/01/2019,12/31/2019
330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,96,4,0,98,89,8,3,93,80,17,3,92,73,24,3,90,,1812,439,24,01/01/2019,12/31/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,97,3,0,99,93,5,2,95,88,11,1,95,89,10,1,96,,1293,352,27,01/01/2019,12/31/2019
330107,PECONIC BAY MEDICAL CENTER,1300 ROANOKE AVENUE,RIVERHEAD,NY,11901,SUFFOLK,(631) 548-6000,97,3,0,98,90,8,2,94,82,16,2,93,76,23,1,91,,1597,438,29,01/01/2019,12/31/2019
330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NY,10021,NEW YORK,(212) 439-2345,96,3,1,98,90,7,3,93,82,14,4,93,80,17,3,92,,1421,285,20,01/01/2019,12/31/2019
330126,ORANGE REGIONAL MEDICAL CENTER,707 EAST MAIN STREET,MIDDLETOWN,NY,10940,ORANGE,(845) 343-2424,96,3,1,98,88,9,3,93,84,13,3,93,81,17,2,93,,6564,1588,24,01/01/2019,12/31/2019
330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7100,96,4,0,98,90,8,2,94,77,20,3,92,71,26,3,89,,1229,351,29,01/01/2019,12/31/2019
330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,RICHMOND,(418) 226-9761,96,3,1,98,91,7,2,95,78,19,3,92,76,22,2,91,,1307,333,26,01/01/2019,12/31/2019
330162,NORTHERN WESTCHESTER HOSPITAL,400 EAST MAIN STREET,MOUNT KISCO,NY,10549,WESTCHESTER,(914) 666-1200,97,3,0,98,91,7,2,95,88,10,2,94,86,12,2,94,,2384,618,26,01/01/2019,12/31/2019
330164,HIGHLAND HOSPITAL,1000 SOUTH AVENUE,ROCHESTER,NY,14620,MONROE,(585) 341-6736,98,2,0,99,90,8,2,94,86,13,1,94,88,11,1,95,,1088,366,34,01/01/2019,12/31/2019
