"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Composite Value","PSI 90 Composite Value Footnote","PSI 90 W Z Score","PSI 90 W Z Footnote","PSI 90 Start Date","PSI 90 End Date","CLABSI SIR","CLABSI SIR Footnote","CLABSI W Z Score","CLABSI W Z Footnote","CAUTI SIR","CAUTI SIR Footnote","CAUTI W Z Score","CAUTI W Z Footnote","SSI SIR","SSI SIR Footnote","SSI W Z Score","SSI W Z Footnote","CDI SIR","CDI SIR Footnote","CDI W Z Score","CDI W Z Footnote","MRSA SIR","MRSA SIR Footnote","MRSA W Z Score","MRSA W Z Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Score Footnote","Payment Reduction","Payment Reduction Footnote"
SOUTHERN NH MEDICAL CENTER,300020,NH,2024,0.9911,,-0.0304,,01/01/2021,06/30/2022,0.579,,-0.4150,,2.177,,2.3067,,0.354,,-0.7634,,0.256,,-0.6489,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.1580,,No,
EXETER HOSPITAL INC,300023,NH,2024,1.2426,,2.1054,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.480,,-0.4053,,0.386,,-0.7114,,0.097,,-1.1255,,0.637,,-0.3918,,01/01/2022,12/31/2022,-0.3180,,No,
PORTSMOUTH REGIONAL HOSPITAL,300029,NH,2024,0.7861,,-1.5902,,01/01/2021,06/30/2022,0.223,,-1.0080,,0.780,,0.1550,,0.428,,-0.6432,,0.683,,0.6312,,0.416,,-0.7406,,01/01/2022,12/31/2022,-0.5326,,No,
CATHOLIC MEDICAL CENTER,300034,NH,2024,0.9146,,-0.6801,,01/01/2021,06/30/2022,0.885,,0.0947,,1.413,,1.3373,,0.000,,-1.3383,,0.665,,0.5772,,1.103,,0.3438,,01/01/2022,12/31/2022,0.0558,,No,
HACKENSACK UNIVERSITY MEDICAL CENTER,310001,NJ,2024,0.7316,,-1.5902,,01/01/2021,06/30/2022,0.411,,-0.6949,,0.320,,-0.7042,,1.670,,1.3739,,0.452,,-0.0613,,0.817,,-0.1076,,01/01/2022,12/31/2022,-0.2974,,No,
NEWARK BETH ISRAEL MEDICAL CENTER,310002,NJ,2024,0.9865,,-0.0693,,01/01/2021,06/30/2022,0.873,,0.0747,,0.526,,-0.3194,,1.627,,1.3041,,0.251,,-0.6639,,1.179,,0.4638,,01/01/2022,12/31/2022,0.1317,,No,
PALISADES MEDICAL CENTER,310003,NJ,2024,0.9381,,-0.4810,,01/01/2021,06/30/2022,0.940,,0.1863,,0.000,,-1.3018,,0.000,,-1.3383,,0.000,,-1.4163,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.9581,,No,
HUNTERDON MEDICAL CENTER,310005,NJ,2024,0.7940,,-1.5902,,01/01/2021,06/30/2022,0.000,,-1.3794,,1.053,,0.6649,,1.062,,0.3865,,0.598,,0.3764,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.4899,,No,
ST MARY'S GENERAL HOSPITAL,310006,NJ,2024,0.8037,,-1.5902,,01/01/2021,06/30/2022,1.502,,1.1224,,0.000,,-1.3018,,0.610,,-0.3476,,0.091,,-1.1435,,0.650,,-0.3712,,01/01/2022,12/31/2022,-0.6054,,No,
HOLY NAME MEDICAL CENTER,310008,NJ,2024,1.1514,,1.3310,,01/01/2021,06/30/2022,0.422,,-0.6765,,0.000,,-1.3018,,0.974,,0.2435,,0.040,,-1.2964,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.5163,,No,
CLARA MAASS MEDICAL CENTER,310009,NJ,2024,1.1721,,1.5061,,01/01/2021,06/30/2022,0.280,,-0.9131,,0.000,,-1.3018,,0.280,,-0.8836,,0.178,,-0.8827,,0.964,,0.1244,,01/01/2022,12/31/2022,-0.3918,,No,
UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,310010,NJ,2024,1.0013,,0.0556,,01/01/2021,06/30/2022,0.236,,-0.9864,,0.273,,-0.7919,,0.543,,-0.4564,,0.613,,0.4213,,0.598,,-0.4533,,01/01/2022,12/31/2022,-0.3685,,No,
CAPE REGIONAL MEDICAL CENTER INC,310011,NJ,2024,0.9548,,-0.3389,,01/01/2021,06/30/2022,0.000,,-1.3794,,1.932,,2.3067,,0.969,,0.2354,,0.962,,1.4676,,0.904,,0.0297,,01/01/2022,12/31/2022,0.3868,,Yes,
VALLEY HOSPITAL,310012,NJ,2024,0.7632,,-1.5902,,01/01/2021,06/30/2022,0.948,,0.1996,,0.604,,-0.1737,,0.494,,-0.5360,,0.304,,-0.5050,,2.850,,2.2744,,01/01/2022,12/31/2022,-0.0552,,No,
COOPER UNIVERSITY HOSPITAL,310014,NJ,2024,1.0397,,0.3822,,01/01/2021,06/30/2022,0.856,,0.0463,,1.076,,0.7079,,0.730,,-0.1527,,0.877,,1.2128,,2.050,,1.8387,,01/01/2022,12/31/2022,0.6725,,Yes,
MORRISTOWN MEDICAL CENTER,310015,NJ,2024,0.6498,,-1.5902,,01/01/2021,06/30/2022,0.390,,-0.7298,,0.538,,-0.2970,,0.596,,-0.3704,,0.248,,-0.6729,,0.683,,-0.3191,,01/01/2022,12/31/2022,-0.6632,,No,
CAREPOINT HEALTH-CHRIST HOSPITAL,310016,NJ,2024,1.1674,,1.4668,,01/01/2021,06/30/2022,1.579,,1.2506,,1.386,,1.2869,,0.919,,0.1542,,0.258,,-0.6429,,1.232,,0.5475,,01/01/2022,12/31/2022,0.6772,,Yes,
CHILTON MEDICAL CENTER,310017,NJ,2024,0.8512,,-1.2187,,01/01/2021,06/30/2022,2.166,,2.2283,,0.517,,-0.3362,,0.380,,-0.7212,,0.269,,-0.6099,,1.936,,1.6587,,01/01/2022,12/31/2022,0.1669,,No,
ST JOSEPH'S UNIVERSITY MEDICAL CENTER INC,310019,NJ,2024,0.8919,,-0.8730,,01/01/2021,06/30/2022,1.456,,1.0457,,0.450,,-0.4613,,0.520,,-0.4938,,0.910,,1.3117,,1.164,,0.4401,,01/01/2022,12/31/2022,0.1616,,No,
ST FRANCIS MEDICAL CENTER,310021,NJ,2024,1.0283,,0.2849,,01/01/2021,06/30/2022,3.177,,2.2883,,0.000,,-1.3018,,N/A,13,N/A,5,0.682,,0.6282,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.4749,,Yes,
WEST JERSEY HOSPITAL,310022,NJ,2024,0.9961,,0.0114,,01/01/2021,06/30/2022,0.324,,-0.8398,,0.514,,-0.3418,,1.229,,0.6577,,0.538,,0.1965,,0.307,,-0.9127,,01/01/2022,12/31/2022,-0.2048,,No,
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,310024,NJ,2024,0.9246,,-0.5952,,01/01/2021,06/30/2022,0.476,,-0.5866,,0.000,,-1.3018,,N/A,13,N/A,5,0.149,,-0.9696,,1.910,,1.6177,,01/01/2022,12/31/2022,-0.3671,,No,
CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,310025,NJ,2024,1.0039,,0.0777,,01/01/2021,06/30/2022,1.724,,1.4921,,0.820,,0.2297,,N/A,13,N/A,5,0.000,,-1.4163,,2.072,,1.8734,,01/01/2022,12/31/2022,0.4513,,Yes,
TRINITAS REGIONAL MEDICAL CENTER,310027,NJ,2024,0.9088,,-0.7298,,01/01/2021,06/30/2022,0.925,,0.1613,,0.576,,-0.2260,,2.715,,2.1665,,0.401,,-0.2142,,1.123,,0.3754,,01/01/2022,12/31/2022,0.2555,,No,
NEWTON MEDICAL CENTER,310028,NJ,2024,0.9687,,-0.2212,,01/01/2021,06/30/2022,0.470,,-0.5966,,1.209,,0.9563,,0.629,,-0.3168,,0.362,,-0.3311,,1.368,,0.7621,,01/01/2022,12/31/2022,0.0421,,No,
VIRTUA OUR LADY OF LOURDES HOSPITAL,310029,NJ,2024,0.9033,,-0.7763,,01/01/2021,06/30/2022,0.203,,-1.0413,,1.279,,1.0870,,2.260,,2.1665,,0.445,,-0.0823,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.0073,,No,
DEBORAH HEART AND LUNG CENTER,310031,NJ,2024,1.1284,,1.1355,,01/01/2021,06/30/2022,0.525,,-0.5050,,0.000,,-1.3018,,N/A,12,N/A,5,0.223,,-0.7478,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.3548,,No,
INSPIRA MEDICAL CENTER VINELAND,310032,NJ,2024,1.0195,,0.2104,,01/01/2021,06/30/2022,0.165,,-1.1046,,0.099,,-1.1169,,0.262,,-0.9128,,0.431,,-0.1243,,1.975,,1.7203,,01/01/2022,12/31/2022,-0.2213,,No,
RIVERVIEW MEDICAL CENTER,310034,NJ,2024,0.9354,,-0.5039,,01/01/2021,06/30/2022,0.601,,-0.3784,,1.603,,1.6922,,1.214,,0.6333,,0.175,,-0.8917,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.1410,,No,
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,310038,NJ,2024,1.2072,,1.8043,,01/01/2021,06/30/2022,0.594,,-0.3901,,0.695,,-0.0037,,1.120,,0.4807,,0.570,,0.2924,,1.187,,0.4764,,01/01/2022,12/31/2022,0.4433,,Yes,
RARITAN BAY MEDICAL CENTER,310039,NJ,2024,1.0323,,0.3197,,01/01/2021,06/30/2022,0.587,,-0.4017,,1.630,,1.7426,,0.993,,0.2744,,0.150,,-0.9666,,0.480,,-0.6396,,01/01/2022,12/31/2022,0.0548,,No,
CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,310040,NJ,2024,0.9707,,-0.2039,,01/01/2021,06/30/2022,2.119,,2.1501,,1.803,,2.0658,,0.809,,-0.0244,,0.427,,-0.1362,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.7702,,Yes,
COMMUNITY MEDICAL CENTER,310041,NJ,2024,0.7387,,-1.5902,,01/01/2021,06/30/2022,0.675,,-0.2551,,0.270,,-0.7975,,0.741,,-0.1349,,0.362,,-0.3311,,0.776,,-0.1723,,01/01/2022,12/31/2022,-0.5469,,No,
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,310044,NJ,2024,0.9036,,-0.7736,,01/01/2021,06/30/2022,0.286,,-0.9031,,0.574,,-0.2297,,0.473,,-0.5701,,0.351,,-0.3641,,1.220,,0.5285,,01/01/2022,12/31/2022,-0.3854,,No,
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,310045,NJ,2024,0.6233,,-1.5902,,01/01/2021,06/30/2022,0.413,,-0.6915,,0.468,,-0.4277,,0.857,,0.0535,,0.398,,-0.2232,,0.610,,-0.4344,,01/01/2022,12/31/2022,-0.5523,,No,
SHORE MEDICAL CENTER,310047,NJ,2024,1.1637,,1.4354,,01/01/2021,06/30/2022,0.545,,-0.4717,,0.252,,-0.8312,,2.224,,2.1665,,0.342,,-0.3911,,0.687,,-0.3128,,01/01/2022,12/31/2022,0.2659,,No,
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,310048,NJ,2024,0.8907,,-0.8832,,01/01/2021,06/30/2022,1.116,,0.4794,,1.355,,1.2290,,0.702,,-0.1982,,0.700,,0.6821,,1.700,,1.2862,,01/01/2022,12/31/2022,0.4326,,Yes,
SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,310050,NJ,2024,0.7856,,-1.5902,,01/01/2021,06/30/2022,1.953,,1.8736,,1.661,,1.8005,,1.305,,0.7811,,0.988,,1.5455,,0.564,,-0.5070,,01/01/2022,12/31/2022,0.6506,,Yes,
OVERLOOK MEDICAL CENTER,310051,NJ,2024,0.9115,,-0.7064,,01/01/2021,06/30/2022,0.932,,0.1729,,0.540,,-0.2932,,0.852,,0.0454,,0.189,,-0.8497,,0.315,,-0.9000,,01/01/2022,12/31/2022,-0.4219,,No,
OCEAN MEDICAL CENTER,310052,NJ,2024,0.9179,,-0.6521,,01/01/2021,06/30/2022,1.301,,0.7876,,0.422,,-0.5136,,0.711,,-0.1836,,0.623,,0.4513,,1.107,,0.3501,,01/01/2022,12/31/2022,0.0399,,No,
HACKENSACKUMC MOUNTAINSIDE,310054,NJ,2024,0.9228,,-0.6107,,01/01/2021,06/30/2022,0.589,,-0.3984,,0.921,,0.4184,,0.862,,0.0616,,0.196,,-0.8287,,3.128,,2.2744,,01/01/2022,12/31/2022,0.1528,,No,
VIRTUA MOUNT HOLLY HOSPITAL,310057,NJ,2024,1.0172,,0.1910,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.431,,-0.4968,,0.954,,0.2111,,0.643,,0.5113,,0.243,,-1.0137,,01/01/2022,12/31/2022,-0.3294,,No,
BERGEN NEW BRIDGE MEDICAL CENTER,310058,NJ,2024,1.1798,23,1.5719,23,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,N/A,13,N/A,5,0.163,,-0.9277,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.2192,23,No,
ST LUKE'S WARREN HOSPITAL,310060,NJ,2024,0.8731,,-1.0329,,01/01/2021,06/30/2022,1.550,,1.2023,,0.000,,-1.3018,,0.994,,0.2760,,0.364,,-0.3251,,2.473,,2.2744,,01/01/2022,12/31/2022,0.1821,,No,
VIRTUA WILLINGBORO HOSPITAL,310061,NJ,2024,0.9299,,-0.5500,,01/01/2021,06/30/2022,0.871,,0.0713,,0.680,,-0.0318,,N/A,13,N/A,5,0.378,,-0.2831,,0.891,,0.0092,,01/01/2022,12/31/2022,-0.1569,,No,
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,310064,NJ,2024,1.0918,,0.8242,,01/01/2021,06/30/2022,0.698,,-0.2168,,0.136,,-1.0478,,0.661,,-0.2648,,0.485,,0.0376,,1.080,,0.3075,,01/01/2022,12/31/2022,-0.0600,,No,
INSPIRA MEDICAL CENTER ELMER,310069,NJ,2024,0.9733,,-0.1817,,01/01/2021,06/30/2022,1.276,,0.7459,,0.190,,-0.9470,,0.853,,0.0470,,0.289,,-0.5499,,0.294,,-0.9332,,01/01/2022,12/31/2022,-0.3031,,No,
SAINT PETER'S UNIVERSITY HOSPITAL,310070,NJ,2024,1.0154,,0.1759,,01/01/2021,06/30/2022,1.509,,1.1340,,1.185,,0.9115,,1.050,,0.3670,,0.144,,-0.9846,,0.748,,-0.2165,,01/01/2022,12/31/2022,0.2312,,No,
JERSEY SHORE UNIVERSITY MEDICAL CENTER,310073,NJ,2024,0.7874,,-1.5902,,01/01/2021,06/30/2022,1.213,,0.6410,,0.991,,0.5491,,1.729,,1.4697,,0.297,,-0.5260,,0.954,,0.1086,,01/01/2022,12/31/2022,0.1087,,No,
JERSEY CITY MEDICAL CENTER,310074,NJ,2024,1.0960,,0.8603,,01/01/2021,06/30/2022,0.970,,0.2362,,0.331,,-0.6836,,2.770,,2.1665,,0.775,,0.9070,,1.155,,0.4259,,01/01/2022,12/31/2022,0.6520,,Yes,
MONMOUTH MEDICAL CENTER,310075,NJ,2024,0.8500,,-1.2288,,01/01/2021,06/30/2022,0.234,,-0.9897,,0.000,,-1.3018,,0.192,,-1.0265,,0.452,,-0.0613,,0.439,,-0.7043,,01/01/2022,12/31/2022,-0.8854,,No,
SAINT BARNABAS MEDICAL CENTER,310076,NJ,2024,1.1116,,0.9926,,01/01/2021,06/30/2022,0.363,,-0.7748,,0.471,,-0.4221,,0.676,,-0.2404,,0.569,,0.2894,,0.768,,-0.1850,,01/01/2022,12/31/2022,-0.0567,,No,
CAREWELL HEALTH MEDICAL CENTER,310083,NJ,2024,1.1358,,1.1985,,01/01/2021,06/30/2022,0.000,,-1.3794,,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,0.797,,-0.1392,,01/01/2022,12/31/2022,-0.4341,,No,
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,310084,NJ,2024,0.9054,,-0.7583,,01/01/2021,06/30/2022,0.405,,-0.7049,,1.101,,0.7546,,N/A,13,N/A,5,0.203,,-0.8078,,0.556,,-0.5196,,01/01/2022,12/31/2022,-0.4072,,No,
JEFFERSON STRATFORD HOSPITAL,310086,NJ,2024,0.8339,,-1.3652,,01/01/2021,06/30/2022,0.422,,-0.6765,,1.061,,0.6799,,1.284,,0.7470,,0.685,,0.6372,,0.993,,0.1702,,01/01/2022,12/31/2022,0.0321,,No,
SALEM MEDICAL CENTER,310091,NJ,2024,1.0142,,0.1653,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.295,,-0.5320,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.1833,,No,
CAPITAL HEALTH REGIONAL MEDICAL CENTER,310092,NJ,2024,0.9137,,-0.6880,,01/01/2021,06/30/2022,0.936,,0.1796,,0.573,,-0.2316,,0.492,,-0.5393,,0.486,,0.0406,,0.479,,-0.6412,,01/01/2022,12/31/2022,-0.3133,,No,
SAINT MICHAEL'S MEDICAL CENTER,310096,NJ,2024,0.9712,,-0.1997,,01/01/2021,06/30/2022,2.994,,2.2883,,3.989,,2.3067,,2.383,,2.1665,,1.195,,2.1660,,0.824,,-0.0966,,01/01/2022,12/31/2022,1.4385,,Yes,
JFK MEDICAL CENTER,310108,NJ,2024,0.9387,,-0.4759,,01/01/2021,06/30/2022,0.670,,-0.2635,,0.535,,-0.3026,,1.047,,0.3621,,0.235,,-0.7118,,0.658,,-0.3586,,01/01/2022,12/31/2022,-0.2917,,No,
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT HAMILTON,310110,NJ,2024,0.8890,,-0.8977,,01/01/2021,06/30/2022,0.358,,-0.7831,,1.006,,0.5771,,0.000,,-1.3383,,0.688,,0.6462,,3.130,,2.2744,,01/01/2022,12/31/2022,0.0798,,No,
CENTRASTATE MEDICAL CENTER,310111,NJ,2024,1.2599,,2.2519,,01/01/2021,06/30/2022,0.719,,-0.1818,,0.626,,-0.1326,,1.583,,1.2326,,0.223,,-0.7478,,0.855,,-0.0476,,01/01/2022,12/31/2022,0.3958,,Yes,
BAYSHORE MEDICAL CENTER,310112,NJ,2024,0.9685,,-0.2226,,01/01/2021,06/30/2022,0.259,,-0.9480,,0.343,,-0.6612,,0.923,,0.1607,,0.329,,-0.4300,,2.338,,2.2744,,01/01/2022,12/31/2022,0.0289,,No,
SOUTHERN OCEAN MEDICAL CENTER,310113,NJ,2024,0.9749,,-0.1680,,01/01/2021,06/30/2022,0.868,,0.0663,,0.347,,-0.6537,,0.651,,-0.2810,,0.244,,-0.6848,,2.266,,2.1797,,01/01/2022,12/31/2022,0.0764,,No,
AHS HOSPITAL CORP,310115,NJ,2024,1.0434,,0.4132,,01/01/2021,06/30/2022,0.953,,0.2079,,0.828,,0.2447,,N/A,13,N/A,5,0.464,,-0.0253,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.2101,,No,
HUDSON REGIONAL HOSPITAL,310118,NJ,2024,1.1706,,1.4937,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.188,,-0.8527,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.3205,,No,
THE UNIVERSITY HOSPITAL,310119,NJ,2024,1.0475,,0.4482,,01/01/2021,06/30/2022,1.867,,1.7303,,1.976,,2.3067,,1.523,,1.1352,,0.393,,-0.2382,,0.656,,-0.3618,,01/01/2022,12/31/2022,0.8367,,Yes,
HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,310130,NJ,2024,0.9792,,-0.1315,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.9499,,No,
HACKENSACK MERIDIAN LTACH,310131,NJ,2024,N/A,5,N/A,5,01/01/2021,06/30/2022,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
UNM HOSPITAL,320001,NM,2024,1.6057,,2.3062,,01/01/2021,06/30/2022,0.894,,0.1096,,0.810,,0.2111,,1.237,,0.6707,,0.902,,1.2877,,0.701,,-0.2907,,01/01/2022,12/31/2022,0.7158,,Yes,
CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,320002,NM,2024,0.7985,,-1.5902,,01/01/2021,06/30/2022,1.284,,0.7592,,1.115,,0.7807,,0.822,,-0.0033,,0.432,,-0.1213,,1.121,,0.3722,,01/01/2022,12/31/2022,0.0329,,No,
ALTA VISTA REGIONAL HOSPITAL,320003,NM,2024,0.9876,,-0.0601,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.907,,1.3027,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.6213,,Yes,
GERALD CHAMPION REGIONAL MEDICAL CENTER,320004,NM,2024,0.8771,,-0.9983,,01/01/2021,06/30/2022,0.826,,-0.0036,,0.398,,-0.5585,,0.000,,-1.3383,,0.769,,0.8890,,0.919,,0.0534,,01/01/2022,12/31/2022,-0.3261,,No,
SAN JUAN REGIONAL MEDICAL CENTER INC,320005,NM,2024,1.0844,,0.7621,,01/01/2021,06/30/2022,0.468,,-0.5999,,1.089,,0.7322,,1.206,,0.6203,,1.010,,1.6115,,1.477,,0.9342,,01/01/2022,12/31/2022,0.6767,,Yes,
EASTERN NEW MEXICO MEDICAL CENTER,320006,NM,2024,0.8693,,-1.0646,,01/01/2021,06/30/2022,0.833,,0.0080,,0.256,,-0.8237,,N/A,13,N/A,5,0.905,,1.2967,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.1459,,No,
LOVELACE MEDICAL CENTER,320009,NM,2024,1.2279,,1.9805,,01/01/2021,06/30/2022,0.800,,-0.0469,,0.612,,-0.1588,,0.000,,-1.3383,,0.841,,1.1048,,0.231,,-1.0326,,01/01/2022,12/31/2022,0.0848,,No,
PRESBYTERIAN ESPANOLA HOSPITAL,320011,NM,2024,0.9861,,-0.0733,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.276,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.1183,,Yes,
LOVELACE WOMEN'S HOSPITAL,320017,NM,2024,1.0270,,0.2745,,01/01/2021,06/30/2022,1.651,,1.3705,,4.739,,2.3067,,2.519,,2.1665,,0.639,,0.4993,,0.000,,-1.3973,,01/01/2022,12/31/2022,0.8700,,Yes,
MEMORIAL MEDICAL CENTER,320018,NM,2024,1.4340,,2.3062,,01/01/2021,06/30/2022,0.282,,-0.9097,,2.025,,2.3067,,0.000,,-1.3383,,0.668,,0.5862,,0.884,,-0.0019,,01/01/2022,12/31/2022,0.4915,,Yes,
PRESBYTERIAN HOSPITAL,320021,NM,2024,1.0546,,0.5083,,01/01/2021,06/30/2022,1.385,,0.9275,,2.280,,2.3067,,0.871,,0.0763,,0.713,,0.7211,,0.828,,-0.0903,,01/01/2022,12/31/2022,0.7416,,Yes,
PLAINS REGIONAL MEDICAL CENTER,320022,NM,2024,0.9335,,-0.5201,,01/01/2021,06/30/2022,N/A,13,N/A,5,2.227,,2.3067,,0.000,,-1.3383,,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.2420,,No,
ARTESIA GENERAL HOSPITAL,320030,NM,2024,1.0175,,0.1933,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,0.1933,,No,
LOS ALAMOS MEDICAL CENTER,320033,NM,2024,0.9809,,-0.1175,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.950,,1.4316,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.6570,,Yes,
REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,320038,NM,2024,1.1222,,1.0824,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,2.246,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.6962,,Yes,
SANTA FE PHS INDIAN HOSPITAL,320057,NM,2024,N/A,5,N/A,5,01/01/2021,06/30/2022,N/A,18,2.2883,18,N/A,18,2.3067,18,N/A,18,2.1665,18,N/A,18,2.3099,18,N/A,18,2.2744,18,01/01/2022,12/31/2022,2.2692,18,Yes,
NORTHERN NAVAJO MEDICAL CENTER,320059,NM,2024,0.9665,,-0.2393,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.337,,-0.4060,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.3227,,No,
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,320060,NM,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
GALLUP INDIAN MEDICAL CENTER,320061,NM,2024,0.9744,,-0.1726,,01/01/2021,06/30/2022,N/A,13,N/A,5,4.673,,2.3067,,N/A,13,N/A,5,0.663,,0.5712,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.9018,,Yes,
CROWNPOINT PHS INDIAN HOSPITAL,320062,NM,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,18,2.1665,18,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,2.1665,18,Yes,
CARLSBAD MEDICAL CENTER,320063,NM,2024,0.9458,,-0.4150,,01/01/2021,06/30/2022,N/A,13,N/A,5,2.892,,2.3067,,N/A,13,N/A,5,0.723,,0.7511,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.8809,,Yes,
COVENANT HEALTH HOBBS HOSPITAL,320065,NM,2024,0.9259,,-0.5847,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.0005,,No,
GUADALUPE COUNTY HOSPITAL,320067,NM,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
LOVELACE WESTSIDE HOSPITAL,320074,NM,2024,0.9603,,-0.2925,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.936,,1.3896,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.5485,,Yes,
ROOSEVELT GENERAL HOSPITAL,320084,NM,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
MOUNTAIN VIEW REGIONAL MEDICAL CENTER,320085,NM,2024,1.5303,,2.3062,,01/01/2021,06/30/2022,0.252,,-0.9597,,0.567,,-0.2428,,0.000,,-1.3383,,0.718,,0.7361,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.1493,,No,
LOVELACE REGIONAL HOSPITAL - ROSWELL,320086,NM,2024,0.9481,,-0.3958,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.9061,,No,
UNM SANDOVAL REGIONAL MEDICAL CENTER,320089,NM,2024,0.9357,,-0.5015,,01/01/2021,06/30/2022,2.011,,1.9702,,0.000,,-1.3018,,N/A,13,N/A,5,0.983,,1.5305,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.4243,,Yes,
